gene_id,gene_mapping_id,gene_product,go_terms
160,104,O95782,GO:0005515!GO:0005829!GO:0005886!GO:0019886!GO:0030122!GO:0030666!GO:0030669!GO:0032802!GO:0034383!GO:0035615!GO:0036020!GO:0048013!GO:0050690!GO:0050750!GO:0060071!GO:0061024!GO:0072583!GO:1900126
161,105,O94973,GO:0005515!GO:0005829!GO:0005886!GO:0019886!GO:0030122!GO:0030666!GO:0030667!GO:0030669!GO:0032802!GO:0034383!GO:0035615!GO:0036020!GO:0043312!GO:0048013!GO:0050690!GO:0060071!GO:0061024!GO:0072583!GO:0101003
162,106,Q10567,GO:0000139!GO:0005515!GO:0005765!GO:0005794!GO:0005829!GO:0019886!GO:0030659!GO:0032588!GO:0043231!GO:0050690
163,107,P63010,GO:0005048!GO:0005515!GO:0005829!GO:0005886!GO:0019886!GO:0030122!GO:0030131!GO:0030276!GO:0030666!GO:0030669!GO:0032802!GO:0034383!GO:0035615!GO:0036020!GO:0048013!GO:0048488!GO:0050690!GO:0060071!GO:0061024!GO:0072583
164,108,O43747,GO:0000139!GO:0005515!GO:0005737!GO:0005765!GO:0005794!GO:0005829!GO:0017137!GO:0019886!GO:0019894!GO:0030136!GO:0030659!GO:0030742!GO:0032438!GO:0032588!GO:0035646!GO:0043231!GO:0043323!GO:0045954!GO:0050690!GO:0055037!GO:0090160
165,109,Q8IUX7,GO:0000122!GO:0000977!GO:0001227!GO:0005518!GO:1904026
166,110,Q08117,GO:0000122!GO:0003714!GO:0005515!GO:0005634!GO:0007275!GO:0009887!GO:0010629!GO:0032091!GO:0042802!GO:0045892!GO:0060761!GO:0070555!GO:0090090!GO:2000210
174,112,P02771,GO:0005515!GO:0005788!GO:0043687!GO:0044267
175,113,P20933,GO:0003948!GO:0005515!GO:0005576!GO:0005615!GO:0005764!GO:0005783!GO:0006517!GO:0035578!GO:0043312
176,114,P16112,GO:0005201!GO:0005515!GO:0005576!GO:0005796!GO:0018146!GO:0030198!GO:0042340!GO:0043202
